,Sold to Customer,Country,Customer region redefined,Pr CFN,recommend,Pr Division,confidence,Qty in Sales unit of measure (SUM),base average qty,base weightage qty,recommend average qty,final recommend qty,final recommend qty w probability
163,119893045894,Australia,Victoria,OMS-T10SB,DS100A,MITG,0.58,23.0,25.0,-0.08,42.0,39.0,39.0
164,119893045894,Australia,Victoria,TECR1410DP2,DS100A,MITG,0.54,101.0,61.0,0.66,42.0,70.0,70.0
165,119893167391,Australia,New South Wales,118-70,186-0106,MITG,0.66,4.0,19.0,-0.79,137.0,29.0,29.0
166,119893167391,Australia,New South Wales,173049,DS100A,MITG,0.63,111.0,46.0,1.41,42.0,101.0,101.0
167,119893167391,Australia,New South Wales,8886803712,150462,MITG,0.53,221.0,113.0,0.96,75.0,147.0,0.0
168,119893167391,Australia,New South Wales,8886803712,186-0106,MITG,0.55,221.0,113.0,0.96,137.0,269.0,269.0
169,119893167391,Australia,New South Wales,ABSTACK30X,186-0106,MITG,0.53,110.0,62.0,0.77,137.0,242.0,0.0
170,119893167391,Australia,New South Wales,ABSTACK30X,DS100A,MITG,0.54,110.0,62.0,0.77,42.0,74.0,74.0
171,119893167391,Australia,New South Wales,D-YS,DS100A,MITG,0.8,5.0,9.0,-0.44,42.0,24.0,0.0
172,119893167391,Australia,New South Wales,EASYCAPII6,DS100A,MITG,0.5,4.0,18.0,-0.78,42.0,9.0,9.0
173,119893167391,Australia,New South Wales,EGIA60AMT,186-0106,MITG,0.57,138.0,109.0,0.27,137.0,174.0,174.0
174,119893167391,Australia,New South Wales,EGIA60AMT,DS100A,MITG,0.59,138.0,109.0,0.27,42.0,53.0,53.0
175,119893167391,Australia,New South Wales,EGIAUSTND,186-0106,MITG,0.59,146.0,68.0,1.15,137.0,295.0,295.0
176,119893167391,Australia,New South Wales,EGIAUSTND,DS100A,MITG,0.61,146.0,68.0,1.15,42.0,90.0,90.0
177,119893167391,Australia,New South Wales,LF1837,173050G,MITG,0.5,15.0,108.0,-0.86,84.0,12.0,0.0
178,119893167391,Australia,New South Wales,LF1837,186-0106,MITG,0.57,15.0,108.0,-0.86,137.0,19.0,19.0
179,119893167391,Australia,New South Wales,LF1837,DS100A,MITG,0.58,15.0,108.0,-0.86,42.0,6.0,6.0
180,119893167391,Australia,New South Wales,LF1937,186-0106,MITG,0.56,377.0,125.0,2.02,137.0,414.0,414.0
