,Product,date,predict,Unnamed: 0,actual,material_x,y,material_y,lower,upper,base,cmb_pred
125,186-0106,2023-01-01,2451.579417525229,33,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2193.4106178535235
126,186-0106,2023-02-01,2472.587136058448,34,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2203.9144771201327
127,186-0106,2023-03-01,2491.561849572323,35,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2213.40183387707
128,186-0106,2023-04-01,2512.5695681055413,36,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2223.90569314368
129,186-0106,2023-05-01,2532.8996182989786,37,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2234.0707182403985
130,186-0106,2023-06-01,2553.9073368321974,38,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2244.5745775070077
131,186-0106,2023-07-01,2574.2373870256347,39,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2254.7396026037263
132,186-0106,2023-08-01,2595.245105558853,40,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2265.2434618703355
133,186-0106,2023-09-01,2616.252824092072,41,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2275.747321136945
134,186-0106,2023-10-01,2636.582874285509,42,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2285.912346233664
135,186-0106,2023-11-01,2657.590592818728,43,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2296.416205500273
136,186-0106,2023-12-01,2677.9206430121653,44,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2306.5812305969916
137,186-0106,2024-01-01,2698.9283615453837,45,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2317.085089863601
138,LF1937,2020-04-01,2385.2547168883084,0,220.0,LF1937,,,,,LF1937,
139,LF1937,2020-05-01,2339.521983031892,1,1500.0,LF1937,,,,,LF1937,
140,LF1937,2020-06-01,2291.6470420179126,2,2123.0,LF1937,,,,,LF1937,
141,LF1937,2020-07-01,2244.7215334589287,3,2534.0,LF1937,,,,,LF1937,
142,LF1937,2020-08-01,2195.2151165131886,4,2115.0,LF1937,,,,,LF1937,
143,LF1937,2020-09-01,2143.847490435898,5,2353.0,LF1937,,,,,LF1937,
144,LF1937,2020-10-01,2091.41329947039,6,2778.0,LF1937,,,,,LF1937,
145,LF1937,2020-11-01,2034.732163348197,7,2674.0,LF1937,,,,,LF1937,
146,LF1937,2020-12-01,1976.5157650352933,8,3021.0,LF1937,,,,,LF1937,
147,LF1937,2021-01-01,1913.798410695198,9,1701.0,LF1937,,,,,LF1937,
148,LF1937,2021-02-01,1847.8163833796787,10,2409.0,LF1937,,,,,LF1937,
149,LF1937,2021-03-01,1785.8471105229078,11,2653.0,LF1937,,,,,LF1937,
150,LF1937,2021-04-01,1714.2349727103062,12,2442.0,LF1937,,,,,LF1937,
151,LF1937,2021-05-01,1642.2282046711969,13,2211.0,LF1937,,,,,LF1937,
152,LF1937,2021-06-01,1565.732379452284,14,2872.0,LF1937,,,,,LF1937,
153,LF1937,2021-07-01,1489.292602588882,15,2705.0,LF1937,,,,,LF1937,
154,LF1937,2021-08-01,1407.0633713252128,16,584.0,LF1937,,,,,LF1937,
155,LF1937,2021-09-01,1322.763967242057,17,486.0,LF1937,,,,,LF1937,
156,LF1937,2021-10-01,1241.1838987744868,18,514.0,LF1937,,,,,LF1937,
157,LF1937,2021-11-01,1156.8844946913312,19,183.0,LF1937,,,,,LF1937,
158,LF1937,2021-12-01,1075.304426223761,20,252.0,LF1937,,,,,LF1937,
159,LF1937,2022-01-01,991.0050221406051,21,621.0,LF1937,544.9149451606463,LF1937,-894.78565722132,1984.6155475426128,LF1937,767.9599836506256
160,LF1937,2022-02-01,906.7056180574494,22,,,468.8298903212927,LF1937,-1704.591409237124,2642.2511898797093,LF1937,687.7677541893711
161,LF1937,2022-03-01,830.5642208210504,23,,,392.7448354819391,LF1937,-2439.853284113946,3225.342955077824,LF1937,611.6545281514948
162,LF1937,2022-04-01,746.2648167378945,24,,,316.6597806425854,LF1937,-3153.6195819308923,3786.939143216063,LF1937,531.46229869024
163,LF1937,2022-05-01,664.6847482703245,25,,,240.5747258032318,LF1937,-3864.5422678258738,4345.691719432337,LF1937,452.6297370367781
164,LF1937,2022-06-01,580.3853441871688,26,,,164.48967096387815,LF1937,-4581.202826753175,4910.182168680931,LF1937,372.43750757552345
165,LF1937,2022-07-01,498.80527571959874,27,,,88.40461612452452,LF1937,-5308.096032752702,5484.90526500175,LF1937,293.60494592206163
166,LF1937,2022-08-01,414.5058716364428,28,,,12.319561285170892,LF1937,-6047.746163377244,6072.385285947585,LF1937,213.41271646080685
167,LF1937,2022-09-01,330.2064675532872,29,,,-63.76549355418274,LF1937,-6801.6193379981305,6674.088350889764,LF1937,133.22048699955224
168,LF1937,2022-10-01,248.62639908571677,30,,,-139.85054839353637,LF1937,-7570.570427612812,7290.86933082574,LF1937,54.3879253460902
169,LF1937,2022-11-01,164.32699500256084,31,,,-215.93560323289,LF1937,-8355.082500466659,7923.211294000879,LF1937,-25.804304115164584
170,LF1937,2022-12-01,82.74692653499076,32,,,-292.02065807224363,LF1937,-9155.403897421502,8571.362581277013,LF1937,-104.63686576862644
171,LF1937,2023-01-01,-1.5524775481648498,33,,,-368.10571291159727,LF1937,-9971.630782718974,9235.419356895778,LF1937,-184.82909522988106
172,LF1937,2023-02-01,-85.85188163132045,34,,,-444.1907677509509,LF1937,-10803.758872444649,9915.377336942744,LF1937,-265.02132469113565
173,LF1937,2023-03-01,-161.99327886771982,35,,,-520.2758225903045,LF1937,-11651.716890133825,10611.165244953214,LF1937,-341.1345507290122
174,LF1937,2023-04-01,-246.29268295087542,36,,,-596.3608774296581,LF1937,-12515.388760782973,11322.667005923657,LF1937,-421.32678019026673
175,LF1937,2023-05-01,-327.8727514184452,37,,,-672.4459322690118,LF1937,-13394.628637771144,12049.73677323312,LF1937,-500.1593418437285
